Benchmark Set,Instance Name,Best Known Solution,Relaxed Bound,Optimality Gap (%),Bound From
Dumas,n40w100.001.txt,429,*,*,Dumas et al. (1995)
Dumas,n40w100.002.txt,358,*,*,Dumas et al. (1995)
Dumas,n40w100.003.txt,364,*,*,Dumas et al. (1995)
Dumas,n40w100.004.txt,357,*,*,Dumas et al. (1995)
Dumas,n40w100.005.txt,377,*,*,Dumas et al. (1995)
Dumas,n40w20.001.txt,500,*,*,Dumas et al. (1995)
Dumas,n40w20.002.txt,552,*,*,Dumas et al. (1995)
Dumas,n40w20.003.txt,478,*,*,Dumas et al. (1995)
Dumas,n40w20.004.txt,404,*,*,Dumas et al. (1995)
Dumas,n40w20.005.txt,499,*,*,Dumas et al. (1995)
Dumas,n40w40.001.txt,465,*,*,Dumas et al. (1995)
Dumas,n40w40.002.txt,461,*,*,Dumas et al. (1995)
Dumas,n40w40.003.txt,474,*,*,Dumas et al. (1995)
Dumas,n40w40.004.txt,452,*,*,Dumas et al. (1995)
Dumas,n40w40.005.txt,453,*,*,Dumas et al. (1995)
Dumas,n40w60.001.txt,494,*,*,Dumas et al. (1995)
Dumas,n40w60.002.txt,470,*,*,Dumas et al. (1995)
Dumas,n40w60.003.txt,408,*,*,Dumas et al. (1995)
Dumas,n40w60.004.txt,382,*,*,Dumas et al. (1995)
Dumas,n40w60.005.txt,328,*,*,Dumas et al. (1995)
Dumas,n40w80.001.txt,395,*,*,Dumas et al. (1995)
Dumas,n40w80.002.txt,431,*,*,Dumas et al. (1995)
Dumas,n40w80.003.txt,412,*,*,Dumas et al. (1995)
Dumas,n40w80.004.txt,417,*,*,Dumas et al. (1995)
Dumas,n40w80.005.txt,344,*,*,Dumas et al. (1995)
Dumas,n60w100.001.txt,515,*,*,Dumas et al. (1995)
Dumas,n60w100.002.txt,538,*,*,Dumas et al. (1995)
Dumas,n60w100.003.txt,560,*,*,Dumas et al. (1995)
Dumas,n60w100.004.txt,510,*,*,Dumas et al. (1995)
Dumas,n60w100.005.txt,451,*,*,Dumas et al. (1995)
Dumas,n60w20.001.txt,551,*,*,Dumas et al. (1995)
Dumas,n60w20.002.txt,605,*,*,Dumas et al. (1995)
Dumas,n60w20.003.txt,533,*,*,Dumas et al. (1995)
Dumas,n60w20.004.txt,616,*,*,Dumas et al. (1995)
Dumas,n60w20.005.txt,603,*,*,Dumas et al. (1995)
Dumas,n60w40.001.txt,591,*,*,Dumas et al. (1995)
Dumas,n60w40.002.txt,621,*,*,Dumas et al. (1995)
Dumas,n60w40.003.txt,603,*,*,Dumas et al. (1995)
Dumas,n60w40.004.txt,597,*,*,Dumas et al. (1995)
Dumas,n60w40.005.txt,539,*,*,Dumas et al. (1995)
Dumas,n60w60.001.txt,609,*,*,Dumas et al. (1995)
Dumas,n60w60.002.txt,566,*,*,Dumas et al. (1995)
Dumas,n60w60.003.txt,485,*,*,Dumas et al. (1995)
Dumas,n60w60.004.txt,571,*,*,Dumas et al. (1995)
Dumas,n60w60.005.txt,569,*,*,Dumas et al. (1995)
Dumas,n60w80.001.txt,458,*,*,Dumas et al. (1995)
Dumas,n60w80.002.txt,498,*,*,Dumas et al. (1995)
Dumas,n60w80.003.txt,550,*,*,Dumas et al. (1995)
Dumas,n60w80.004.txt,566,*,*,Dumas et al. (1995)
Dumas,n60w80.005.txt,468,*,*,Dumas et al. (1995)
Dumas,n80w20.001.txt,616,*,*,Dumas et al. (1995)
Dumas,n80w20.002.txt,737,*,*,Dumas et al. (1995)
Dumas,n80w20.003.txt,667,*,*,Dumas et al. (1995)
Dumas,n80w20.004.txt,615,*,*,Dumas et al. (1995)
Dumas,n80w20.005.txt,748,*,*,Dumas et al. (1995)
Dumas,n80w40.001.txt,606,*,*,Dumas et al. (1995)
Dumas,n80w40.002.txt,618,*,*,Dumas et al. (1995)
Dumas,n80w40.003.txt,674,*,*,Dumas et al. (1995)
Dumas,n80w40.004.txt,557,*,*,Dumas et al. (1995)
Dumas,n80w40.005.txt,695,*,*,Dumas et al. (1995)
Dumas,n80w60.001.txt,554,*,*,Dumas et al. (1995)
Dumas,n80w60.002.txt,633,*,*,Dumas et al. (1995)
Dumas,n80w60.003.txt,651,*,*,Dumas et al. (1995)
Dumas,n80w60.004.txt,619,*,*,Dumas et al. (1995)
Dumas,n80w60.005.txt,575,*,*,Dumas et al. (1995)
Dumas,n80w80.001.txt,624,*,*,Dumas et al. (1995)
Dumas,n80w80.002.txt,592,*,*,Dumas et al. (1995)
Dumas,n80w80.003.txt,589,*,*,Dumas et al. (1995)
Dumas,n80w80.004.txt,594,*,*,Dumas et al. (1995)
Dumas,n80w80.005.txt,570,*,*,Dumas et al. (1995)
GendreauDumas,n100w100.001.txt,643,*,*,Baldacci et al. (2012)
GendreauDumas,n100w100.002.txt,619,*,*,Baldacci et al. (2012)
GendreauDumas,n100w100.003.txt,685,*,*,Baldacci et al. (2012)
GendreauDumas,n100w100.004.txt,684,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n100w100.005.txt,572,*,*,Baldacci et al. (2012)
GendreauDumas,n100w120.001.txt,629,*,*,Baldacci et al. (2012)
GendreauDumas,n100w120.002.txt,540,535.68,0.80,Baldacci et al. (2012)
GendreauDumas,n100w120.003.txt,617,*,*,Baldacci et al. (2012)
GendreauDumas,n100w120.004.txt,663,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n100w120.005.txt,537,*,*,Baldacci et al. (2012)
GendreauDumas,n100w140.001.txt,604,*,*,Baldacci et al. (2012)
GendreauDumas,n100w140.002.txt,615,*,*,Baldacci et al. (2012)
GendreauDumas,n100w140.003.txt,481,*,*,Baldacci et al. (2012)
GendreauDumas,n100w140.004.txt,533,*,*,Baldacci et al. (2012)
GendreauDumas,n100w140.005.txt,509,504.419,0.90,Baldacci et al. (2012)
GendreauDumas,n100w160.001.txt,582,*,*,Baldacci et al. (2012)
GendreauDumas,n100w160.002.txt,532,528.94,0.58,Baldacci et al. (2012)
GendreauDumas,n100w160.003.txt,495,*,*,Baldacci et al. (2012)
GendreauDumas,n100w160.004.txt,580,*,*,Baldacci et al. (2012)
GendreauDumas,n100w160.005.txt,586,585.414,0.10,Baldacci et al. (2012)
GendreauDumas,n100w80.001.txt,670,*,*,Baldacci et al. (2012)
GendreauDumas,n100w80.002.txt,668,666,0.30,Baldacci et al. (2012)
GendreauDumas,n100w80.003.txt,691,*,*,Baldacci et al. (2012)
GendreauDumas,n100w80.004.txt,700,*,*,Baldacci et al. (2012)
GendreauDumas,n100w80.005.txt,603,*,*,Baldacci et al. (2012)
GendreauDumas,n20w120.001.txt,267,*,*,Baldacci et al. (2012)
GendreauDumas,n20w120.002.txt,218,*,*,Baldacci et al. (2012)
GendreauDumas,n20w120.003.txt,303,*,*,Baldacci et al. (2012)
GendreauDumas,n20w120.004.txt,300,*,*,Baldacci et al. (2012)
GendreauDumas,n20w120.005.txt,240,*,*,Baldacci et al. (2012)
GendreauDumas,n20w140.001.txt,176,*,*,Baldacci et al. (2012)
GendreauDumas,n20w140.002.txt,272,*,*,Baldacci et al. (2012)
GendreauDumas,n20w140.003.txt,236,*,*,Baldacci et al. (2012)
GendreauDumas,n20w140.004.txt,255,*,*,Baldacci et al. (2012)
GendreauDumas,n20w140.005.txt,225,*,*,Baldacci et al. (2012)
GendreauDumas,n20w160.001.txt,241,*,*,Baldacci et al. (2012)
GendreauDumas,n20w160.002.txt,201,*,*,Baldacci et al. (2012)
GendreauDumas,n20w160.003.txt,201,*,*,Baldacci et al. (2012)
GendreauDumas,n20w160.004.txt,203,*,*,Baldacci et al. (2012)
GendreauDumas,n20w160.005.txt,245,*,*,Baldacci et al. (2012)
GendreauDumas,n20w180.001.txt,253,*,*,Baldacci et al. (2012)
GendreauDumas,n20w180.002.txt,265,*,*,Baldacci et al. (2012)
GendreauDumas,n20w180.003.txt,271,*,*,Baldacci et al. (2012)
GendreauDumas,n20w180.004.txt,201,*,*,Baldacci et al. (2012)
GendreauDumas,n20w180.005.txt,193,*,*,Baldacci et al. (2012)
GendreauDumas,n20w200.001.txt,233,*,*,Baldacci et al. (2012)
GendreauDumas,n20w200.002.txt,203,*,*,Baldacci et al. (2012)
GendreauDumas,n20w200.003.txt,249,*,*,Baldacci et al. (2012)
GendreauDumas,n20w200.004.txt,293,*,*,Rudich et al. (2023)
GendreauDumas,n20w200.005.txt,227,*,*,Baldacci et al. (2012)
GendreauDumas,n40w120.001.txt,434,*,*,Baldacci et al. (2012)
GendreauDumas,n40w120.002.txt,445,*,*,Baldacci et al. (2012)
GendreauDumas,n40w120.003.txt,357,*,*,Baldacci et al. (2012)
GendreauDumas,n40w120.004.txt,303,*,*,Baldacci et al. (2012)
GendreauDumas,n40w120.005.txt,350,*,*,Baldacci et al. (2012)
GendreauDumas,n40w140.001.txt,328,*,*,Baldacci et al. (2012)
GendreauDumas,n40w140.002.txt,383,*,*,Baldacci et al. (2012)
GendreauDumas,n40w140.003.txt,398,*,*,Baldacci et al. (2012)
GendreauDumas,n40w140.004.txt,342,*,*,Baldacci et al. (2012)
GendreauDumas,n40w140.005.txt,371,*,*,Baldacci et al. (2012)
GendreauDumas,n40w160.001.txt,348,*,*,Baldacci et al. (2012)
GendreauDumas,n40w160.002.txt,337,*,*,Baldacci et al. (2012)
GendreauDumas,n40w160.003.txt,346,*,*,Baldacci et al. (2012)
GendreauDumas,n40w160.004.txt,288,*,*,Baldacci et al. (2012)
GendreauDumas,n40w160.005.txt,315,*,*,Baldacci et al. (2012)
GendreauDumas,n40w180.001.txt,337,*,*,Baldacci et al. (2012)
GendreauDumas,n40w180.002.txt,347,*,*,Baldacci et al. (2012)
GendreauDumas,n40w180.003.txt,279,*,*,Baldacci et al. (2012)
GendreauDumas,n40w180.004.txt,354,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n40w180.005.txt,335,*,*,Baldacci et al. (2012)
GendreauDumas,n40w200.001.txt,330,*,*,Baldacci et al. (2012)
GendreauDumas,n40w200.002.txt,303,*,*,Rudich et al. (2023)
GendreauDumas,n40w200.003.txt,339,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n40w200.004.txt,301,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n40w200.005.txt,296,*,*,Baldacci et al. (2012)
GendreauDumas,n60w120.001.txt,384,*,*,Baldacci et al. (2012)
GendreauDumas,n60w120.002.txt,427,*,*,Baldacci et al. (2012)
GendreauDumas,n60w120.003.txt,407,*,*,Baldacci et al. (2012)
GendreauDumas,n60w120.004.txt,490,*,*,Baldacci et al. (2012)
GendreauDumas,n60w120.005.txt,547,*,*,Baldacci et al. (2012)
GendreauDumas,n60w140.001.txt,423,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n60w140.002.txt,462,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n60w140.003.txt,427,*,*,Baldacci et al. (2012)
GendreauDumas,n60w140.004.txt,488,*,*,Baldacci et al. (2012)
GendreauDumas,n60w140.005.txt,460,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n60w160.001.txt,560,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n60w160.002.txt,423,*,*,Baldacci et al. (2012)
GendreauDumas,n60w160.003.txt,434,432.698,0.30,Baldacci et al. (2012)
GendreauDumas,n60w160.004.txt,401,*,*,Baldacci et al. (2012)
GendreauDumas,n60w160.005.txt,502,*,*,Baldacci et al. (2012)
GendreauDumas,n60w180.001.txt,411,407.301,0.90,Baldacci et al. (2012)
GendreauDumas,n60w180.002.txt,399,*,*,Baldacci et al. (2012)
GendreauDumas,n60w180.003.txt,445,440.004,1.12,Baldacci et al. (2012)
GendreauDumas,n60w180.004.txt,456,455.544,0.10,Baldacci et al. (2012)
GendreauDumas,n60w180.005.txt,395,388.68,1.60,Baldacci et al. (2012)
GendreauDumas,n60w200.001.txt,410,*,*,Baldacci et al. (2012)
GendreauDumas,n60w200.002.txt,414,*,*,Baldacci et al. (2012)
GendreauDumas,n60w200.003.txt,455,444.08,2.40,Baldacci et al. (2012)
GendreauDumas,n60w200.004.txt,431,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n60w200.005.txt,427,425.292,0.40,Baldacci et al. (2012)
GendreauDumas,n80w100.001.txt,565,*,*,Baldacci et al. (2012)
GendreauDumas,n80w100.002.txt,567,*,*,Baldacci et al. (2012)
GendreauDumas,n80w100.003.txt,580,*,*,Baldacci et al. (2012)
GendreauDumas,n80w100.004.txt,649,*,*,Rudich et al. (2023)
GendreauDumas,n80w100.005.txt,532,*,*,Baldacci et al. (2012)
GendreauDumas,n80w120.001.txt,498,497.502,0.10,Baldacci et al. (2012)
GendreauDumas,n80w120.002.txt,577,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n80w120.003.txt,540,*,*,Baldacci et al. (2012)
GendreauDumas,n80w120.004.txt,501,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n80w120.005.txt,591,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n80w140.001.txt,512,*,*,Baldacci et al. (2012)
GendreauDumas,n80w140.002.txt,470,469.06,0.20,Baldacci et al. (2012)
GendreauDumas,n80w140.003.txt,580,574.78,0.90,Baldacci et al. (2012)
GendreauDumas,n80w140.004.txt,423,*,*,Kuroiwa and Beck (2023a)
GendreauDumas,n80w140.005.txt,545,*,*,Baldacci et al. (2012)
GendreauDumas,n80w160.001.txt,506,*,*,Baldacci et al. (2012)
GendreauDumas,n80w160.002.txt,549,547.452,0.28,Baldacci et al. (2012)
GendreauDumas,n80w160.003.txt,521,*,*,Baldacci et al. (2012)
GendreauDumas,n80w160.004.txt,509,*,*,Baldacci et al. (2012)
GendreauDumas,n80w160.005.txt,439,*,*,Baldacci et al. (2012)
GendreauDumas,n80w180.001.txt,551,550.449,0.10,Baldacci et al. (2012)
GendreauDumas,n80w180.002.txt,479,*,*,Baldacci et al. (2012)
GendreauDumas,n80w180.003.txt,524,*,*,Baldacci et al. (2012)
GendreauDumas,n80w180.004.txt,479,*,*,Baldacci et al. (2012)
GendreauDumas,n80w180.005.txt,470,*,*,Baldacci et al. (2012)
GendreauDumas,n80w200.001.txt,490,486.57,0.70,Baldacci et al. (2012)
GendreauDumas,n80w200.002.txt,488,487.512,0.10,Baldacci et al. (2012)
GendreauDumas,n80w200.003.txt,464,462.144,0.40,Baldacci et al. (2012)
GendreauDumas,n80w200.004.txt,526,521.266,0.90,Baldacci et al. (2012)
GendreauDumas,n80w200.005.txt,439,438.122,0.20,Baldacci et al. (2012)
Langevin,N20ft301.dat,661.6,*,*,Baldacci et al. (2012)
Langevin,N20ft302.dat,684.2,*,*,Baldacci et al. (2012)
Langevin,N20ft303.dat,746.4,*,*,Baldacci et al. (2012)
Langevin,N20ft304.dat,817,*,*,Baldacci et al. (2012)
Langevin,N20ft305.dat,716.5,*,*,Baldacci et al. (2012)
Langevin,N20ft306.dat,727.8,*,*,Baldacci et al. (2012)
Langevin,N20ft307.dat,691.8,*,*,Baldacci et al. (2012)
Langevin,N20ft308.dat,788.2,*,*,Baldacci et al. (2012)
Langevin,N20ft309.dat,730.7,*,*,Baldacci et al. (2012)
Langevin,N20ft310.dat,683,*,*,Baldacci et al. (2012)
Langevin,N20ft401.dat,660.8,*,*,Baldacci et al. (2012)
Langevin,N20ft402.dat,684.2,*,*,Baldacci et al. (2012)
Langevin,N20ft403.dat,746.4,*,*,Baldacci et al. (2012)
Langevin,N20ft404.dat,817,*,*,Baldacci et al. (2012)
Langevin,N20ft405.dat,716.5,*,*,Baldacci et al. (2012)
Langevin,N20ft406.dat,727.8,*,*,Baldacci et al. (2012)
Langevin,N20ft407.dat,691.8,*,*,Baldacci et al. (2012)
Langevin,N20ft408.dat,757.3,*,*,Baldacci et al. (2012)
Langevin,N20ft409.dat,730.7,*,*,Baldacci et al. (2012)
Langevin,N20ft410.dat,683,*,*,Baldacci et al. (2012)
Langevin,N40ft201.dat,1100.6,*,*,Baldacci et al. (2012)
Langevin,N40ft202.dat,1010.4,*,*,Baldacci et al. (2012)
Langevin,N40ft203.dat,876.8,*,*,Baldacci et al. (2012)
Langevin,N40ft204.dat,885.8,*,*,Baldacci et al. (2012)
Langevin,N40ft205.dat,940.9,*,*,Baldacci et al. (2012)
Langevin,N40ft206.dat,1054.2,*,*,Baldacci et al. (2012)
Langevin,N40ft207.dat,867.5,*,*,Baldacci et al. (2012)
Langevin,N40ft208.dat,1050.7,*,*,Baldacci et al. (2012)
Langevin,N40ft209.dat,1013.9,*,*,Baldacci et al. (2012)
Langevin,N40ft210.dat,1026.3,*,*,Baldacci et al. (2012)
Langevin,N40ft401.dat,1085,*,*,Baldacci et al. (2012)
Langevin,N40ft402.dat,995.6,*,*,Baldacci et al. (2012)
Langevin,N40ft403.dat,845.8,*,*,Baldacci et al. (2012)
Langevin,N40ft404.dat,868,*,*,Baldacci et al. (2012)
Langevin,N40ft405.dat,936.5,*,*,Baldacci et al. (2012)
Langevin,N40ft406.dat,969.1,*,*,Baldacci et al. (2012)
Langevin,N40ft407.dat,831.2,*,*,Baldacci et al. (2012)
Langevin,N40ft408.dat,1002.7,*,*,Baldacci et al. (2012)
Langevin,N40ft409.dat,1000.5,*,*,Baldacci et al. (2012)
Langevin,N40ft410.dat,983.8,*,*,Baldacci et al. (2012)
Langevin,N60ft201.dat,1353.5,*,*,Baldacci et al. (2012)
Langevin,N60ft202.dat,1161.6,*,*,Baldacci et al. (2012)
Langevin,N60ft203.dat,1182.9,*,*,Baldacci et al. (2012)
Langevin,N60ft204.dat,1257.5,*,*,Baldacci et al. (2012)
Langevin,N60ft205.dat,1184.1,*,*,Baldacci et al. (2012)
Langevin,N60ft206.dat,1199.6,*,*,Baldacci et al. (2012)
Langevin,N60ft207.dat,1299,*,*,Baldacci et al. (2012)
Langevin,N60ft208.dat,1113,*,*,Baldacci et al. (2012)
Langevin,N60ft209.dat,1171.3,*,*,Baldacci et al. (2012)
Langevin,N60ft210.dat,1234.3,*,*,Baldacci et al. (2012)
Langevin,N60ft301.dat,1337,*,*,Baldacci et al. (2012)
Langevin,N60ft302.dat,1089.5,*,*,Baldacci et al. (2012)
Langevin,N60ft303.dat,1179,*,*,Baldacci et al. (2012)
Langevin,N60ft304.dat,1230,*,*,Baldacci et al. (2012)
Langevin,N60ft305.dat,1151.6,*,*,Baldacci et al. (2012)
Langevin,N60ft306.dat,1167.9,*,*,Baldacci et al. (2012)
Langevin,N60ft307.dat,1220.1,*,*,Baldacci et al. (2012)
Langevin,N60ft308.dat,1097.6,*,*,Baldacci et al. (2012)
Langevin,N60ft309.dat,1140.6,*,*,Baldacci et al. (2012)
Langevin,N60ft310.dat,1219.2,*,*,Baldacci et al. (2012)
Langevin,N60ft401.dat,1335,*,*,Baldacci et al. (2012)
Langevin,N60ft402.dat,1088.1,*,*,Baldacci et al. (2012)
Langevin,N60ft403.dat,1173.7,*,*,Baldacci et al. (2012)
Langevin,N60ft404.dat,1184.7,*,*,Baldacci et al. (2012)
Langevin,N60ft405.dat,1146.2,*,*,Baldacci et al. (2012)
Langevin,N60ft406.dat,1140.2,*,*,Baldacci et al. (2012)
Langevin,N60ft407.dat,1198.9,*,*,Baldacci et al. (2012)
Langevin,N60ft408.dat,1029.4,*,*,Baldacci et al. (2012)
Langevin,N60ft409.dat,1121.4,*,*,Baldacci et al. (2012)
Langevin,N60ft410.dat,1189.6,*,*,Baldacci et al. (2012)
OhlmannThomas,n150w120.001.txt,734,725.5,1.16,Baldacci et al. (2012)
OhlmannThomas,n150w120.002.txt,677,668.4,1.27,Baldacci et al. (2012)
OhlmannThomas,n150w120.003.txt,747,746.4,0.08,Baldacci et al. (2012)
OhlmannThomas,n150w120.004.txt,763,761.6,0.18,Baldacci et al. (2012)
OhlmannThomas,n150w120.005.txt,689,684.7,0.62,Baldacci et al. (2012)
OhlmannThomas,n150w140.001.txt,762,754,1.05,Baldacci et al. (2012)
OhlmannThomas,n150w140.002.txt,755,752,0.40,Baldacci et al. (2012)
